WE1_counts	WE2_counts	M1_counts	M2_counts	M3_counts
YGR232W	1942	2918	4446	3810	3373
YEL066W	959	1484	1213	1094	983
YPR035W	26702	32867	52218	29853	39533
YDR542W	4	12	0	0	0
YDR227W	2841	3177	2675	2838	1923
YDL130W-A	169	481	882	429	596
YHL039W	6084	6128	10668	12248	7529
YCR038C	330	516	570	477	364
YOR157C	5674	7196	7543	7104	5535
YCL056C	1438	1626	1793	1679	1406
YBR093C	604	864	841	778	675
YDR034C	2553	2855	3535	3703	2276
YGL054C	10156	10156	11716	11492	8860
YLR134W	870	2410	2259	1451	1785
YKL096C-B	57	256	242	145	186
YPL225W	5224	4867	7560	6874	5518
YDL043C	827	1125	980	1001	598
YDL012C	736	853	940	790	609
YDR218C	75	109	34	33	21
YLR299W	2077	5311	2428	2042	1578
YFL003C	202	274	156	191	122
YEL049W	77	95	86	165	53
YGL139W	7354	8001	7136	8502	4909
YNL054W	2069	2989	2466	2486	1719
YDR156W	2141	2614	2521	2085	1741
YPR155C	896	1703	2277	1813	1585
YOR137C	521	980	1415	890	1018
YKL172W	21439	18728	12560	14793	9558
YNL336W	0	286	6400	6517	7149
YDR305C	766	975	1214	973	909
YJL057C	470	948	1376	1106	1032
YPR100W	3052	4178	4456	4116	3713
YDR358W	406	809	1405	925	929
YLR096W	5449	7753	7378	8453	5179
YIL104C	2782	2038	2238	3201	2112
YKR052C	624	1288	765	912	594
YER040W	1047	1652	2105	2009	1403
YIR032C	80	218	167	115	108
YGL015C	243	247	10	28	13
YEL064C	1135	1638	1843	1459	1222
YMR127C	1467	1484	1389	1422	1105
YIL140W	2041	3822	3029	2532	1516
YOL163W	0	0	0	0	0
YLR197W	56505	48628	68865	68830	51271
YAL064W	0	0	0	0	0
YJL204C	998	1189	1962	2671	1294
YLR244C	11211	11915	11935	11801	10248
YJR084W	910	1343	1925	1745	1377
YLR233C	236	163	600	670	426
YDL238C	76	247	338	197	243
YGL084C	6727	7784	11581	10766	8462
YLR382C	2380	4421	4211	3834	2604
YLR219W	2669	3878	5080	3868	3315
YDR363W	856	753	1458	1483	959
YNL163C	5842	7580	8133	9676	5624
YFR005C	1993	2460	3397	3593	2566
YHR009C	5418	8827	16507	12746	12345
YFR050C	6870	9465	11812	11226	9126
YLR447C	16971	19414	32795	26762	25662
YNR069C	64	262	88	28	30
YGR126W	136	268	213	191	99
YAR019C	1044	1015	1934	1733	1395
YGL071W	2287	3680	1948	2341	1378
YGL257C	2294	2488	6421	7234	4583
YGR020C	6979	7255	8234	10990	6451
YOR093C	2575	4842	4368	4590	3389
YAL046C	1031	1238	1793	1561	1369
YDR198C	1717	1662	1784	2088	1316
YAL039C	1004	886	1000	679	574
YIL166C	188	769	475	522	353
YER060W	4001	2588	2409	2044	1817
YDR286C	430	862	876	860	772
YHR141C	85195	102258	105195	125160	78407
YPL128C	2564	3183	5064	4750	3683
YJL091C	4086	5167	5231	4360	3507
YBR191W	125192	147770	153958	140282	127259
YDR380W	1254	2778	10772	7979	8263
YGL100W	4363	5597	7151	6615	4867
YGR047C	2430	3199	3277	4780	2341
YDR485C	2110	2338	2004	1866	1475
YPL239W	3351	3510	1805	2866	1535
YPR183W	9041	16461	25813	19257	18787
YOR206W	24259	20163	17582	22883	13867
YBL042C	11797	14207	10404	11570	7277
YOR391C	11	0	0	0	0
YDR525W-A	503	778	569	405	563
YLR075W	227470	307389	357942	338996	275787
YBR054W	50	105	253	114	182
YLR020C	6026	5852	6674	7350	4746
YNL217W	4521	4830	3356	2917	2823
YER067W	67	340	279	82	195
YIL013C	2307	2621	3003	2684	2081
YPL206C	1690	3212	3325	2225	2765
YDL060W	10335	10964	9372	13687	7056
YBR293W	553	844	748	812	532
YNR052C	2770	3554	3667	2848	2526
YHR032W	10967	18162	16638	18422	11845
YEL032W	4115	6370	6204	5449	4232
YOL076W	3296	4180	6107	6617	4395
YHR203C	96114	127411	141176	209356	113963
YJL136W-A	13	20	42	58	33
YML112W	913	1168	1178	1169	843
YGL241W	2964	4061	4035	4508	2859
YPR176C	2976	4992	6048	5001	4946
YDR057W	1693	2365	2555	2598	1944
YJL036W	839	1321	2107	1569	1114
YER009W	21241	26289	29734	28640	25041
YLR115W	2361	3060	3084	3121	2252
YGL114W	3518	6284	5848	5325	3788
YER167W	2767	4489	4630	3579	3476
YMR104C	842	2025	1501	958	934
YER185W	42	45	77	120	63
YGR204C-A	1	8	182	179	121
YNL199C	2818	2882	3643	3632	2793
YCR026C	4248	5513	4387	4525	3241
YBL052C	2405	2082	2727	2924	1908
YBR076W	102	204	142	118	124
YNL317W	1223	1898	1762	1634	1357
YLL019C	1575	3695	2688	2034	1944
YDR177W	3422	4551	5559	5291	4518
YHR052W	13893	11995	13722	15852	10743
YKR026C	5176	6623	6944	7621	5539
YJR043C	1028	955	570	623	384
YJR012C	422	675	612	477	465
YKL060C	819525	1081858	1320717	1049369	1087748
YCR044C	5144	7738	7568	6468	5365
YDL177C	425	310	474	419	388
YLR264C-A	24233	22286	24152	19206	18272
YNL073W	2022	3839	3747	3198	2354
YMR280C	563	2106	207	297	153
YFL020C	18	16	0	3	2
YNL328C	51	170	198	203	118
YJL014W	10698	16858	20847	21931	15898
YGR217W	5268	6657	5754	6475	4259
YOR174W	867	1224	1820	1614	1337
YPR149W	17610	25353	52879	35086	35042
YNL015W	464	1608	1855	1625	1514
YCR084C	15822	30516	23565	24284	17634
YHR178W	1017	2173	1529	1926	1230
YPL187W	2	0	0	0	0
YLR283W	858	1253	992	903	796
YPL170W	1088	1564	1553	970	1136
YPR001W	317	461	489	430	383
YDR204W	847	1511	2103	1716	1576
YBR085C-A	901	1490	3248	1711	2036
YDR251W	2278	3379	7071	4929	4698
YER089C	5579	7497	8599	8553	5609
YOR074C	1767	1798	2810	2804	2172
YPL028W	29781	65149	52313	43393	38467
YJR152W	366	449	465	507	385
YDR150W	6823	10726	9337	10651	7112
YAR008W	1215	623	1607	1484	1106
YBR158W	2896	3924	3952	4268	3024
YOL097C	17275	18827	23481	25739	18156
YNL122C	503	771	1143	864	650
YDR407C	3137	4495	7164	6754	4429
YNR020C	1158	1246	1632	1718	1335
YBR258C	569	586	667	642	501
YNL146W	204	156	148	190	147
YAL007C	10187	5075	13266	12562	9762
YLR262C-A	9447	7357	8918	7854	6883
YBR223C	288	587	956	759	698
YNL241C	9298	19254	19132	15806	13636
YJL154C	3367	4999	5584	7829	4077
YDR091C	16908	25557	31136	31772	22609
YJL123C	6662	6518	5831	8183	4165
YHR066W	8027	5345	5672	8925	4795
YPL047W	743	731	951	846	767
YER086W	34564	43656	46116	45982	34450
YLR287C-A	34141	36033	45802	38894	35113
YBR176W	1429	1554	1670	1909	1243
YBL071C-B	5	1	0	1	1
YFR026C	0	19	195	186	143
YDR373W	2321	2964	3339	2788	2580
YGL238W	9855	10699	15613	16078	11502
YJL165C	3633	4220	6245	8946	4439
YNL128W	84	109	119	120	107
YLR312C	10	64	206	63	55
YKL191W	9703	15627	9433	12632	7686
YNR006W	1294	1911	2207	1973	1477
YHR120W	3462	3677	3621	4365	2517
YAR050W	0	768	59656	12274	43489
YOL137W	3276	2926	3364	4198	2273
YDR530C	743	1383	1505	1167	1284
YER111C	2141	2370	3091	2867	1986
YER144C	2239	5597	3671	3460	2623
YOL039W	73603	106152	104042	83026	78956
YIL083C	2440	2542	3535	3433	2764
YHL011C	19481	16221	21024	22357	16766
YGL173C	15091	17673	23141	24318	16226
YMR303C	472	401	1130	800	707
YPL060W	446	469	641	623	429
YDR411C	2413	4262	4217	3583	2881
YBR205W	12544	11353	11869	14069	9052
YOR321W	4185	3267	4058	3006	2913
YMR186W	154519	213318	228901	229979	158348
YMR278W	1301	2358	2052	1337	1386
YLR136C	492	1013	233	341	198
YGL260W	316	2	0	0	0
YMR207C	4148	6053	4889	5898	3283
YML015C	873	1282	1283	1386	993
YOR197W	6299	10601	10203	9328	7826
YKR089C	2718	4812	5778	5105	4148
YKR072C	3892	4905	3913	4377	2883
YDL014W	62085	75595	75256	73943	52978
YER079W	166	364	380	254	253
YER024W	1089	1497	1321	1381	1021
YOR230W	11554	12157	20190	12592	13793
YGR234W	60975	85426	72	40	32
YMR178W	2451	2546	3262	2641	2253
YPR037C	956	1424	1236	1171	856
YNL090W	1740	2942	2906	2907	2106
YOR307C	5370	5810	5809	4518	4589
YMR225C	483	864	722	589	489
YBR095C	994	1078	1624	1618	1202
YDR036C	2594	4034	0	0	0
YGR043C	39	33	26	39	27
YPL223C	11	27	48	49	36
YPL272C	486	866	76	90	70
YOL002C	8021	7377	7351	5790	6304
YFL005W	7568	10799	11123	10007	9017
YCR010C	28	65	78	77	60
YMR152W	2437	3606	7394	5653	5504
YMR125W	9890	10226	15144	16035	10501
YJR031C	3214	4745	5389	5951	3776
YCL026C-A	97	60	2	2	2
YCL026C-B	1091	1939	95	41	61
YGR118W	77852	96658	90508	82071	75555
YJL055W	3629	4278	4644	4133	3818
YPR102C	79006	85920	128131	102109	105932
YNL334C	6	6	12	14	10
YGL123W	276199	374494	374847	297511	262594
YDR303C	3698	3627	7196	7062	4961
YPL086C	6842	7389	7886	10192	5946
YPR153W	165	289	278	295	229
YKR066C	6074	11603	9655	6456	6107
YLL003W	1449	1953	2479	2377	1851
YLR425W	1110	2028	2005	1715	1504
YDR109C	943	1129	1972	1945	1376
YDR221W	3983	4547	4602	4746	3062
YLR109W	75935	99720	82990	107652	55048
YKR009C	573	751	1409	1204	1065
YMR078C	1760	2273	3004	2617	2062
YLR094C	1019	1679	1776	1520	1265
YBR037C	1198	2542	2337	1802	1718
YJR060W	826	1097	1431	1401	892
YNL161W	2702	3837	4623	4398	3206
YIL146C	961	1468	1135	1049	799
YLR195C	3774	3821	5609	5054	4342
YOL161C	0	0	0	0	0
YLR231C	1491	1150	661	411	454
YKL016C	5734	12406	11015	8955	8161
YPL111W	2851	15973	27973	36021	21245
YKL174C	5684	6012	5501	5956	4056
YKL121W	631	1425	2180	1662	1570
YLR380W	5721	6467	5179	5408	4162
YOR142W-B	22	0	0	0	0
YMR012W	23250	32305	39540	37403	27007
YER093C	2545	3399	3967	3621	2698
YOR032W-A	0	10	81	98	68
YDL201W	4698	4800	4707	5708	3573
YDR468C	1381	1709	2239	2039	1676
YFR003C	518	858	1162	793	794
YIL033C	5524	11064	11473	9256	8993
YOR368W	1484	1402	2206	1891	1565
YGR128C	11156	9104	10495	13877	8239
YIL048W	6961	9408	10315	10100	7501
YLR337C	1454	2732	2875	2296	1746
YOL056W	1066	930	1768	1578	1381
YHL034C	12570	14416	18615	17202	13747
YGR088W	126	671	5516	1870	4041
YGL073W	2781	4513	3220	3322	2169
YGL259W	2	64	14	4	6
YGR106C	28889	27846	35534	50230	26367
YGL086W	2651	2330	2925	3557	2147
YAL044C	3504	2910	5659	4793	4092
YPR081C	445	518	1346	909	829
YDR284C	5842	7118	11969	8937	8287
YJL097W	8343	8470	13255	11722	9777
YNL302C	79684	100445	89240	89273	72628
YOR048C	5006	5760	7135	8638	4732
YHR143W	8142	11461	8720	11701	5628
YMR315W-A	16	38	5	4	0
YLR157W-E	0	0	0	0	0
YLR157W-D	0	0	0	0	0
YCL004W	1171	1424	1861	1661	1267
YDR329C	2045	2280	3168	3095	2021
YBL044W	4	88	7	3	9
YDR430C	4571	8138	7778	8058	5396
YGR193C	2444	2882	3909	4188	2589
YDR487C	6870	9403	5440	4375	4255
YPR185W	814	1223	1786	1811	1264
YER065C	893	1617	921	734	580
YLR077W	2281	2896	3574	3348	2589
YBR056W	752	1792	3749	2012	2830
YNL219C	12679	14240	16835	15179	11300
YHR034C	539	682	1057	1169	824
YBL019W	738	803	1074	955	761
YOL070C	2051	3151	2500	2706	1709
YGR150C	3129	3162	4039	4703	2668
YPL200W	22	13	41	61	10
YNR054C	3502	3399	2856	4072	2041
YDR130C	620	738	1131	925	797
YIL015W	50	89	130	110	70
YEL030W	418	497	482	494	325
YBR291C	4632	2552	1220	1256	903
YML114C	1679	2242	2120	2339	1674
YCR108C	0	0	0	0	0
YHR201C	5253	5575	6455	9291	4706
YNL299W	2488	1881	2150	2879	1643
YGR008C	267	779	2747	1417	2077
YNL311C	1147	1542	1417	1629	1056
YDL215C	2260	3278	3650	3307	2760
YJL030W	638	1170	1125	960	968
YDR165W	9034	7552	9272	11440	7249
YGR248W	19	69	1450	293	905
YBR074W	11570	12697	10306	12225	7216
YOR150W	1607	3040	3473	2723	2672
YDR055W	5642	12198	2296	660	1568
YML036W	1237	1446	1658	1575	1198
YDL088C	3360	4053	5222	5214	3853
YLR113W	5841	9691	10412	9761	7647
YLR142W	50	125	431	210	323
YNL207W	7684	6785	5420	6463	4150
YDL197C	532	710	924	793	504
YER130C	911	1478	1453	1285	1122
YER165W	63430	80847	94820	89926	68042
YMR106C	477	632	814	698	532
YER187W	0	664	0	4	0
YGL112C	3452	4057	5650	5495	3982
YMR244W	68	34	8	6	2
YDL008W	896	1327	1530	1248	1147
YBL050W	2823	3512	5735	4504	4310
YJR086W	586	524	615	465	448
YJR014W	5879	6251	6126	5155	4292
YHR050W	5255	7500	10082	7452	7155
YPL018W	435	1108	888	771	692
YJR041C	6434	7067	8551	11646	6385
YDL248W	382	716	137	75	63
YKR028W	7364	10019	9794	9730	6824
YKL037W	18	63	92	54	65
YMR286W	1225	1806	2029	1606	1434
YDL175C	826	1077	1093	1281	882
YKL168C	736	1094	1679	1437	1246
YFL026W	85	218	318	234	244
YDL102W	2824	2976	4646	5277	3425
YGL029W	3932	2549	2065	3719	1690
YDL128W	8693	13676	11840	12535	8704
YPL098C	2368	5090	4399	3901	3178
YMR033W	3434	2940	5135	4766	3521
YPR003C	1536	2230	2578	2368	1768
YGR262C	2395	3092	2903	3132	2660
YDR202C	785	1285	1780	1655	1359
YGR215W	1214	1496	2254	2150	1606
YDR253C	630	836	806	687	620
YCR082W	1772	2404	1874	1865	1464
YOR001W	6891	7707	7342	9104	4877
YKL088W	1173	1443	1490	1516	955
YLR276C	12518	9917	10484	14417	7858
YJR154W	117	185	77	82	23
YOL095C	1220	1432	2062	2143	1519
YNR022C	1965	2616	2556	2246	1912
YDR409W	1608	1970	1742	1673	1201
YBR221C	23086	30757	36875	31814	26202
YAL005C	24039	34509	65205	65466	48252
YPL158C	3573	5022	2725	3331	1827
YJL121C	11270	21389	21874	28320	16578
YKL008C	7202	8468	10819	8359	8606
YBR103W	1833	2375	2300	2408	1593
YNR004W	462	532	814	862	609
YPL032C	7816	10653	14599	11766	9751
YHR064C	46144	51946	63072	62498	46601
YKL197C	927	1599	1836	1756	1188
YGR202C	2731	2709	2996	2545	2088
YDR377W	4203	8445	6071	4431	4346
YIR007W	438	407	820	452	573
YPL045W	1845	2158	3757	3263	2625
YLR314C	4397	4601	7506	7188	4894
YNL126W	2205	2150	3795	3804	2412
YOR327C	3339	3708	3646	3435	3054
YOL139C	25040	28181	35551	33308	27933
YBR207W	3868	5887	4632	5059	2964
YNL269W	26	32	1	2	2
YDR532C	760	646	973	851	592
YKL210W	9419	11676	29234	27150	20900
YER146W	2603	2953	2586	2308	2008
YHR159W	384	594	907	1101	626
YPL132W	1325	1979	3443	3081	2508
YIL114C	3045	3082	2178	2251	1681
YJL089W	36	82	178	202	88
YJL157C	4787	5133	2375	3815	1724
YMR301C	4881	6517	4061	5354	2767
YBL029W	718	960	1141	919	979
YHL028W	469	879	852	443	635
YGR154C	576	669	993	707	662
YOR389W	402	234	280	335	166
YLR130C	11108	14348	5539	5787	5037
YER022W	1819	2202	2751	2902	1964
YBR140C	6618	11347	14186	13346	10229
YKR070W	2038	2694	3709	3398	2390
YGL262W	61	86	12	5	9
YMR205C	45632	75697	97944	67444	72669
YJL185C	388	540	547	1061	424
YML017W	1414	2047	2824	2417	1745
YKR087C	1544	2130	2585	2443	1925
YOR232W	8649	10260	15182	12692	11382
YGR281W	9435	13605	8578	7435	6133
YGR236C	5	7	24	14	9
YKR091W	585	2102	598	297	452
YHL013C	1745	1612	2327	2595	1997
YOR059C	1938	1720	2834	2683	1970
YBR097W	1630	2732	2956	2858	2309
YMR227C	1610	1491	1136	1259	878
YDR522C	56	31	171	141	65
YPL221W	10317	17387	13457	11317	9605
YPL274W	19970	21054	10514	13617	9461
YEL051W	10179	11049	14020	11612	10709
YOL004W	9048	12432	12175	11735	8373
YGR014W	8902	21490	11564	16605	8566
YGL050W	2121	2394	3206	2919	2473
YER179W	9	15	12	7	3
YMR150C	935	1312	2106	1449	1573
YML056C	40905	57646	84551	79483	62630
YFL007W	9669	13538	13313	15010	9788
YCR012W	328377	652726	981790	641789	710595
YPL084W	2587	3496	5236	4279	3203
YDR354W	5032	6998	7350	5977	5528
YDR301W	3263	4807	4752	4706	3643
YJL053W	1377	1588	2601	2069	1935
YPR104C	2158	2238	2836	2858	2015
YPR151C	45	168	648	415	397
YOR381W-A	23	11	0	0	0
YOR133W	22809	31641	101038	92602	72603
YML028W	64358	103110	117524	116724	84019
YLL001W	2706	4009	7027	5325	4729
YCL001W	5596	5776	6620	6333	5239
YDR223W	496	1238	995	892	793
YLR043C	10952	9782	13286	10786	10506
YJR062C	969	1539	2042	1551	1471
YBR035C	4611	5980	5890	5096	4628
YNL167C	2299	3405	4479	3456	3106
YGL008C	423497	603013	531010	643578	358523
YIL144W	1366	1256	1691	1650	1120
YAR042W	4159	2642	5356	4759	3450
YIL133C	59251	72088	125565	107221	98201
YJL166W	4266	7612	8313	10972	6249
YJL200C	17693	14813	6254	9435	4759
YBR148W	305	88	66	14	14
YPL113C	337	524	407	280	288
YKL041W	1464	1256	1800	1617	1122
YNL067W	26198	43894	55300	60009	45657
YDR089W	5513	4756	11511	11161	7794
YKL014C	10172	11366	12853	17789	9568
YLR237W	20299	8423	16507	13782	10978
YKL176C	6360	12106	9702	10238	8100
YDR249C	939	1096	1463	1425	1115
YER091C	9515	7786	17442	10340	15087
YIR024C	534	706	853	698	538
YJR008W	258	416	553	370	407
YDL203C	1480	2050	2343	2431	1628
YLR087C	5579	10110	7651	7923	5203
YLR215C	1805	1862	2415	2775	1938
YML082W	3208	3760	2979	3707	2250
YOL054W	1194	1391	938	1126	744
YFR001W	8834	7768	6036	7159	4729
YKR013W	1708	3633	13470	12053	9356
YIL031W	1842	2881	2458	2553	1814
YLR203C	7095	10752	12928	10836	9446
YLR342W	119073	235090	161836	148643	115759
YLR335W	5942	7258	8415	8438	5587
YJR102C	798	962	1142	924	882
YOR020C	12982	23502	18490	15278	15635
YJR088C	2245	2329	4515	4044	3483
YGR104C	823	1023	1099	1864	797
YLR368W	1814	1716	1753	2056	1481
YBR268W	1418	2772	1912	1737	1601
YPR083W	1056	1412	1615	1383	1249
YHR022C-A	22	48	16	19	15
YGR173W	5425	6460	6434	7398	4865
YDR282C	500	881	745	586	517
YDR009W	124	337	610	675	466
YJL095W	3545	4190	3598	3821	2492
YHL048C-A	0	0	0	0	0
YBR126C	2928	9472	37761	14326	24804
YOL149W	1783	1929	2286	2227	1707
YGL202W	21207	26292	22368	18149	16156
YOR046C	7007	7499	11280	10525	7965
YPR187W	15093	16224	15011	13231	11941
YEL018W	906	1019	970	1025	758
YDR432W	10753	13781	15769	14837	10160
YGR195W	3022	2834	3571	3853	2983
YGL104C	1138	2429	4176	2400	2799
YIL082W-A	0	0	0	0	0
YLL022C	2280	2498	2245	2481	1673
YHR036W	1625	1727	1638	1738	1169
YOL072W	1406	1711	1810	1985	1334
YPL202C	1666	1517	1547	1523	1070
YIL017C	687	1318	1909	1380	1308
YOL123W	7117	9866	11445	12238	7970
YDR132C	725	722	472	491	302
YML116W	3016	2614	1720	1913	1264
YNR056C	319	752	249	199	190
YDR185C	736	1141	1416	1412	1319
YBR084C-A	101679	123881	122334	102661	92244
YHR207C	1199	1224	1189	1498	904
YNL220W	25542	28583	48567	48814	36782
YGR060W	120501	70937	53048	75889	39500
YOR152C	627	1074	697	584	418
YGL031C	105247	112901	123017	163053	94095
YOR183W	12	17	12	13	5
YJL093C	2601	4457	4572	4378	3108
YPR172W	1239	1563	2084	1510	1599
YML034W	2849	3639	3854	3625	2379
YPR023C	4531	5624	4852	3407	3278
YPL126W	11473	11387	14400	19689	10605
YLR144C	2142	3031	4087	3882	3038
YEL072W	225	385	417	323	324
YPR058W	2674	3637	3681	4303	2842
YDL020C	2224	8998	3769	3479	2411
YML061C	2386	2653	3535	4077	2246
YBR050C	5	4	30	6	8
YDL191W	53758	81185	56299	55157	45823
YHR101C	878	985	1408	1466	1044
YER163C	1513	2993	2328	1963	2130
YPL268W	1493	1569	1006	951	729
YER132C	3036	4327	2968	3134	2184
YER039C-A	35	87	120	97	100
YGL110C	1734	1695	2608	2460	1698
YDR179W-A	1262	1290	1616	1803	1326
YMR242C	100938	121729	122998	107450	92127
YBR079C	25693	34784	43111	42529	28159
YPL183C	8699	8139	9356	12555	7119
YDR166C	3026	3507	5170	5041	3567
YPR118W	9865	11257	9544	10800	7544
YHR056C	1176	1616	2983	2958	2061
YJL105W	595	613	879	794	636
YJR016C	30834	54860	41063	33395	32040
YDL100C	12996	15489	21154	19586	16975
YMR284W	410	747	1402	1057	891
YGL032C	21	13	5	1	2
YMR035W	695	1500	1086	1068	974
YOR178C	1027	1227	1208	815	792
YKR011C	981	1179	1434	1169	1035
YBR031W	211802	376941	377750	294248	267554
YPR005C	429	863	628	484	505
YNL044W	8856	14414	13619	10283	10229
YDR200C	1068	1490	1562	1491	1164
YDR255C	718	1334	1696	1257	1208
YGR260W	24602	25976	31553	24197	21602
YNL011C	583	975	1525	946	1081
YLR274W	2565	3669	3250	3490	2349
YJR156C	40	23	0	0	0
YOR007C	15534	26052	19099	17900	13634
YDL220C	693	1351	1272	1256	794
YNL142W	425	782	522	397	367
YHR019C	52540	82583	73026	69977	56334
YAL003W	64538	40511	75505	74809	58771
YGR138C	4208	8670	10616	9079	8460
YIL078W	51903	54673	67197	74439	52103
YFL024C	1546	2554	3077	2979	2358
YJL127C	709	975	1185	2119	779
YBL092W	129152	146584	133347	129472	110544
YFL053W	169	339	512	324	375
YBR201C-A	104	213	341	285	237
YJL158C	23454	36553	46253	62452	32997
YDR375C	2302	4148	4651	4556	3263
YKL140W	4897	4750	4690	4188	3110
YKL195W	4717	6883	6791	6531	4573
YDR320C	2593	2895	4207	3880	2868
YNR002C	115	360	424	259	299
YPL030W	4951	4555	4957	6031	3879
YDR452W	7268	11397	20964	18715	14566
YLR316C	928	1371	2134	1787	1355
YFR022W	695	1262	838	905	638
YNL124W	2108	2176	2211	3224	1692
YGL225W	31025	41708	38688	31938	27997
YAR023C	67	174	117	130	100
YOR352W	412	529	1091	867	801
YDR534C	121	73	156	194	140
YOR069W	1762	2162	2574	2530	1938
YGR038W	3941	2214	5529	7173	3997
YER140W	2910	3546	3125	3320	2243
YFL029C	584	744	747	730	679
YBR227C	3076	3228	2927	3009	1558
YLR378C	33062	45518	45906	42443	31649
YHR157W	33	75	74	195	44
YPL130W	183	31	125	230	137
YIL116W	5791	7759	4701	4035	3255
YOL100W	764	1206	2018	1831	1227
YGR156W	1418	1939	1911	2052	1334
YFR048W	1703	2405	2621	2446	1856
YGL169W	4935	5172	5570	7644	4424
YMR307W	130852	233572	269353	260522	175846
YOL006C	5228	4779	5078	5021	3304
YOL021C	9631	11717	12579	15000	9202
YLR132C	140	350	203	116	134
YER020W	1155	2151	1332	1179	889
YML011C	1042	977	1178	1276	966
YNL201C	2413	2570	3951	4140	3114
YDR398W	7881	8065	8592	10486	6839
YCR028C-A	4071	3960	6133	4893	4647
YER075C	2120	3220	3305	4268	2487
YJL187C	2474	3214	5262	7255	3681
YLR018C	3482	4062	3768	4568	2959
YKR085C	1498	3133	3332	2827	2494
YLR063W	1248	1159	1411	1816	1198
YOR234C	25865	32027	37667	30589	27472
YBR289W	1534	2038	2033	2057	1574
YKR093W	8350	23000	54230	29813	37475
YKL212W	14857	18206	22713	22473	17422
YMR221C	8313	13743	12705	13604	9330
YMR105W-A	71	75	57	46	53
YOR269W	1439	2108	1827	1693	1518
YOR212W	325	329	418	556	332
YDR520C	1431	1600	2384	2538	1784
YGR016W	186	218	229	294	155
YEL053C	2359	3243	4907	5209	3772
YDR372C	6531	6089	10216	8882	7683
YMR156C	450	620	783	759	629
YCR014C	828	697	942	957	660
YGL184C	31	69	58	77	54
YMR129W	16858	20090	17787	21274	12160
YPR106W	1398	1969	2319	2140	1644
YDR158W	24238	31230	32268	27848	25052
YHR065C	6671	6592	5895	8420	4656
YOR164C	5085	5306	7793	6860	4995
YPL082C	12485	18429	17132	18198	12938
YDR323C	554	715	751	651	559
YGR283C	3115	3320	2640	3185	2204
YMR174C	29	27	82	50	64
YLR429W	6008	7756	9369	8505	6599
YLL007C	748	1984	1349	1162	963
YCR032W	2471	3911	3423	3104	2543
YDR105C	4161	5064	5028	5239	3704
YLR045C	2691	2937	3641	3203	2456
YNL063W	1251	1550	589	894	420
YLR098C	1378	1997	1973	1843	1451
YIR038C	746	2065	2049	1306	1527
YPL117C	9784	9990	14056	14726	11287
YKR058W	311	498	940	519	583
YBR033W	1434	3391	1796	2922	1453
YDR369C	698	830	1177	1020	728
YAL062W	456	386	887	686	679
YLR453C	191	283	292	282	152
YMR298W	2856	2519	4056	3313	2994
YGR227W	4330	5107	6465	6481	4496
YNL165W	1510	2036	2091	2462	1545
YDR261C	7705	8717	7540	7637	5317
YIL131C	2048	2553	2804	3464	2136
YBR146W	3976	6740	6355	5199	3963
YAL044W-A	1095	950	1600	1389	1201
YKL012W	1972	2331	2271	1886	1533
YPL115C	3082	4328	4695	4204	3388
YJL164C	429	812	2049	1469	1368
YNL065W	8886	5847	7807	9611	8430
YNL030W	27533	23970	44223	41327	37244
YLR191W	1380	1467	1522	1484	1078
YJL004C	1452	1748	2548	2507	1875
YDR356W	3473	3702	3955	3551	2939
YJL051W	3842	4266	5043	4979	3262
YDL205C	5786	6417	5924	6107	4670
YML080W	3269	3559	4073	5689	3081
YMR016C	3705	4161	3531	4047	2807
YIL037C	214	216	366	261	215
YOL052C	4987	6935	5646	6622	4423
YDR475C	1383	2201	2729	2197	1989
YJR100C	1231	1864	2202	1999	1667
YLR340W	332975	401417	499559	421364	344498
YKL043W	1013	2207	1346	1548	1333
YGR171C	1305	1805	1426	1548	963
YAL048C	317	286	1522	1431	964
YPR085C	1369	2404	1234	1459	1016
YGL200C	17566	22563	27113	24552	21201
YOR019W	370	448	491	486	399
YOR044W	387	468	569	325	392
YLL052C	211	616	120	209	58
YBR120C	594	671	1469	993	1098
YDR280W	4597	3611	5510	5865	4521
YHR138C	65	438	1590	1940	1154
YPR189W	4269	5209	7071	7313	4988
YOR008C-A	29	40	41	69	36
YGR197C	1966	3690	450	368	326
YIL099W	76	155	52	71	24
YLL024C	125291	144664	147549	162712	120882
YDR434W	7732	7325	8031	9018	5628
YGL106W	3593	3996	2962	2531	1775
YOR375C	33002	48201	85327	74967	62517
YOR022C	544	768	1599	1610	984
YIL019W	4927	3469	2603	4578	2121
YER074W-A	45	59	51	45	35
YOR099W	21777	29238	24655	23213	19026
YOL029C	1362	1768	917	932	752
YNL222W	1115	1764	1459	1622	1137
YAR068W	173	94	63	5	7
YML118W	18	32	44	12	52
YHR205W	8480	10723	7258	12470	5716
YOL121C	37650	43524	53926	44584	39188
YNR058W	254	309	367	288	303
YOR394C-A	0	0	0	0	0
YMR240C	977	1129	1197	1092	876
YMR215W	17218	18116	25908	25242	17783
YDR051C	1731	3267	3360	3816	2844
YGR062C	941	1312	1739	2192	1419
YBR078W	76369	146037	148755	138608	101109
YPL240C	2662	18407	5134	4628	2855
YDL022W	2271	10619	86014	36007	70616
YPR021C	1276	2148	3792	3207	2599
YGR244C	2445	6107	10102	6497	7130
YDR496C	15688	13448	13205	17658	10366
YEL070W	106	108	62	30	72
