ID_REF,G3.2_0ISO_1,G3.2_0ISO_2,G3.2_0ISO_3,G3.2_5ISO_1,G3.2_5ISO_2,G3.2_5ISO_3
2083_3750,5.1834,4.8123,4.7747,5.2965,4.8824,5.1047
2084_3564,4.8720,4.8260,4.7982,4.5941,4.6215,4.6646
2085_210,3.9645,3.7696,3.6111,3.8436,3.8587,3.8027
2086_943,4.2736,4.0465,4.0984,4.5950,4.3352,4.1650
2087_1734,4.5983,4.3925,4.1540,4.2506,4.0980,4.2953
2088_873,4.1130,4.1824,4.2187,4.1462,4.1810,4.0838
2089_1714,5.1946,4.7882,4.9111,5.1362,5.0615,5.1978
208_696,6.0264,6.1747,5.9489,5.8815,5.9567,6.0313
2090_162,4.1072,4.1914,4.2665,4.2202,4.2105,4.0972
2091_137,6.8903,6.9793,6.9607,7.0612,7.0505,7.1001
2092_524,5.8431,5.8242,5.7233,6.2008,6.0015,5.9977
2093_1494,6.2088,6.4979,6.3386,6.5718,6.5472,6.5817
2094_270,5.9227,5.8102,5.6922,5.4135,5.3354,5.3470
2095_42,7.3980,7.8198,7.8193,7.6760,7.8878,7.7748
2096_513,6.4153,6.2349,6.0963,6.2288,5.9170,6.0384
2097_612,5.7616,5.8813,5.8508,5.2998,5.3633,5.5480
2098_509,5.1642,5.2834,5.0719,4.8557,4.7185,4.7983
2099_752,6.1128,6.2349,5.9833,5.2586,5.1320,5.1311
209_312,7.3166,7.2880,7.3535,7.7222,7.6958,7.9065
2100_2068,6.8073,6.7298,6.7363,6.4867,6.3735,6.2566
2101_1001,7.3210,7.2289,7.2367,7.0550,6.9933,6.9620
2102_614,7.3229,7.5214,7.4155,7.4138,7.3887,7.3602
2103_444,4.6377,4.8944,4.8683,4.4800,4.5676,4.3436
2104_284,7.3628,7.1431,7.0416,6.9617,6.9107,6.8354
2105_321,5.5160,5.4664,5.2284,4.9790,4.8937,4.7536
2106_1299,5.1964,4.8373,4.8371,5.3257,4.9485,4.8470
2107_808,6.8904,7.4031,7.2284,7.2953,7.3983,7.3884
2108_231,5.8953,5.3384,5.3414,5.0778,5.0657,5.1239
2109_651,6.2564,5.8841,5.8482,5.6914,5.7579,5.7306
210_1952,5.4993,5.6702,5.4798,5.6720,5.5007,5.5549
2110_640,8.1449,7.3108,7.1144,7.0435,7.1221,7.0918
2111_670,4.9318,5.0999,5.1631,5.2486,5.2114,5.2451
2112_174,6.2123,6.3722,6.3052,6.3520,6.3790,6.3380
2113_1070,5.1593,4.8208,5.0959,5.1931,5.1622,5.2213
2114_1028,5.8787,5.9351,5.9534,5.9545,5.8635,5.9000
2115_757,4.6473,4.7304,4.5527,4.7176,4.6592,4.6163
2116_1042,5.3250,5.5161,5.2677,5.1058,5.1198,5.0494
2117_944,6.1146,6.2803,6.1442,6.0265,6.0462,6.0849
2118_704,4.9160,5.0817,4.9515,4.8627,4.9987,4.9623
2119_669,7.7886,7.9008,7.7852,7.6250,7.7277,7.6650
211_271,9.6540,9.6393,9.5445,9.4316,9.4366,9.3339
2120_572,8.1046,8.0001,8.0207,8.1108,7.9935,8.0178
2121_278,6.6080,6.5346,6.5072,6.8739,6.8469,6.8795
2122_1753,8.9548,9.2908,8.3292,6.4312,6.5729,6.7418
2123_1200,7.9587,7.7887,7.8508,7.7989,7.6617,7.8078
2124_458,6.1666,6.2560,6.2372,5.7583,6.0216,6.0631
2125_814,6.3578,6.3281,6.2078,5.9933,5.8702,5.8090
2126_449,7.3311,7.2710,7.1871,7.2439,7.0850,7.0733
2127_939,6.4690,6.6167,6.4500,6.8268,6.8696,6.7916
2128_871,5.1804,5.0326,5.0937,4.7836,5.0721,4.7876
2129_897,4.6630,4.8029,4.7919,4.6511,4.9272,5.0317
212_621,7.0410,6.8128,6.8296,6.9726,6.8979,6.8243
2130_269,4.7405,4.8076,4.6119,4.7873,4.7749,4.6812
2131_863,5.3448,5.4796,5.2716,5.1296,5.3295,5.3685
2132_780,4.1866,4.1571,4.1791,4.2326,4.2051,4.2133
2133_720,4.9465,4.5945,4.5884,4.9630,4.8739,5.1111
2134_1411,6.5722,6.5031,6.4158,6.7640,6.8098,6.8459
2135_786,6.0346,5.8006,5.6769,6.2340,6.1849,6.1941
2136_995,8.0238,6.0428,5.9159,6.5623,6.6599,6.7433
2137_802,4.9791,5.0238,4.8485,5.1480,5.3336,5.2260
2138_78,6.0367,5.7813,5.7969,5.9961,5.7977,6.0220
2139_213,7.0604,7.2586,7.1876,7.1935,7.1306,7.2527
213_563,8.1837,8.5523,8.5590,8.0647,7.9472,7.9907
2140_1235,5.7371,5.4663,5.4975,5.5677,5.4824,5.4409
2141_563,6.1834,6.1586,6.2204,6.5673,6.4214,6.4377
2142_549,6.3154,6.4275,6.3557,7.1146,7.0952,7.0921
2143_267,9.9057,9.8678,9.6757,10.0834,10.0491,10.1952
2144_1467,6.2806,6.5001,6.4495,6.0510,5.9653,5.9403
2145_1632,6.6852,6.7810,6.6287,6.4705,6.5784,6.5163
